group,id,category,price_ar,price_en,hasSizes,image,name_ar,name_en,shortDesc_ar,shortDesc_en,fullDesc_ar,fullDesc_en
cups,108,cup,15,15,false,images/cup/8/8.webp,كوب منزل السنافر 8,Cup 8,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,109,cup,15,15,false,images/cup/9/9.webp,كوب منزل السنافر 9,Cup 9,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,110,cup,15,15,false,images/cup/10/10.webp,كوب منزل السنافر 10,Cup 10,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,111,cup,15,15,false,images/cup/11/11.webp,كوب منزل السنافر 11,Cup 11,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,112,cup,15,15,false,images/cup/12/12.webp,كوب منزل السنافر 12,Cup 12,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,113,cup,15,15,false,images/cup/13/13.webp,كوب 13,Cup 13,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,114,cup,15,15,false,images/cup/14/14.webp,كوب 14,Cup 14,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,115,cup,15,15,false,images/cup/15/15.webp,كوب 15,Cup 15,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,116,cup,15,15,false,images/cup/16/16.webp,كوب 16,Cup 16,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
cups,117,cup,15,15,false,images/cup/17/17.webp,كوب 17,Cup 17,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
prints3d,301,print3d,15.99,20,false,images/3d/1/1.webp,طباعة ثلاثية الأبعاد,3D Print,اختر شخصيتك المفضلة,Choose your favorite character,تماثيل عالية الجودة بتقنية الطباعة ثلاثية الأبعاد لشخصيات ماريو المحببة.,High-quality 3D printed figures of your favorite Mario characters.
prints3d,302,print3d,0.99,0.99,false,images/3d/2/girl/2.webp,طباعة ثلاثية الأبعاد 2,3D Print 2,اختر بين تصميم ولد أو بنت,Choose between boy or girl,تماثيل ثلاثية الأبعاد عالية الجودة، متوفرة بتصميم ولد أو بنت.,"High-quality 3D printed figures, available in boy or girl design."
prints3d,303,print3d,0.99,0.99,false,images/3d/3/3.webp,طباعة ثلاثية الأبعاد 3,3D Print 3,...,...,...,...
prints3d,304,print3d,0.99,0.99,false,images/3d/4/4.webp,ألعاب أطفال,Kids Toys,تشكيلة ألعاب أطفال مطبوعة ثلاثية الأبعاد.,A collection of 3D-printed kids toys.,تشكيلة ألعاب أطفال مطبوعة ثلاثية الأبعاد بجودة عالية وخامات آمنة ومتينة. اختر اللعبة المفضّلة من بين خمس ألعاب مميزة.,"A collection of high-quality 3D-printed kids toys made with safe, durable materials. Choose your favorite from five distinctive toys."
prints3d,305,print3d,0.99,0.99,false,images/3d/4/4.webp,طباعة ثلاثية الأبعاد 5,3D Print 5,...,...,...,...
frames,201,frame,7.99,7.99,false,images/Frame/1/1.webp,عيد الزواج,Wedding Anniversary,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.
frames,202,frame,12.5,12.5,false,images/Frame/2/2.webp,فاصل كتب جلدي,Leather Bookmark,فاصل كتب جلدي فاخر بشعار ناديك المفضل، صناعة يدوية.,Premium leather bookmark with your favorite football club crest.,فاصل كتب من الجلد الفاخر، مصنوع يدوياً بدقة عالية، يحمل شعار ناديك الرياضي المفضل. اختار من بين أبرز الأندية العالمية، أو اطلب شعاراً مخصصاً بنادي من اختيارك.,"A handcrafted leather bookmark featuring the crest of your favorite football club. Choose from top European clubs, or request a custom design with any club of your choice."
gifts,401,gift,9.99,9.99,false,images/gifts/1/1.webp,هدية منوعة 1,Mixed Gift 1,هدية يدوية مميزة.,Special handmade gift.,قطعة هدية فريدة مصنوعة يدويًا بعناية فائقة وتفاصيل دقيقة.,"A unique handmade gift item, carefully crafted with attention to detail."
gifts,402,gift,12.5,12.5,false,images/gifts/2/girl/2.webp,هدية منوعة 2,Mixed Gift 2,هدية يدوية مميزة.,Special handmade gift.,قطعة هدية فريدة مصنوعة يدويًا بعناية فائقة وتفاصيل دقيقة.,"A unique handmade gift item, carefully crafted with attention to detail."
gifts,403,gift,15,15,false,images/gifts/3/3.webp,هدية منوعة 3,Mixed Gift 3,هدية يدوية مميزة.,Special handmade gift.,قطعة هدية فريدة مصنوعة يدويًا بعناية فائقة وتفاصيل دقيقة.,"A unique handmade gift item, carefully crafted with attention to detail."
gifts,404,gift,18.99,18.99,false,images/gifts/4/4.webp,هدية منوعة 4,Mixed Gift 4,هدية يدوية مميزة.,Special handmade gift.,قطعة هدية فريدة مصنوعة يدويًا بعناية فائقة وتفاصيل دقيقة.,"A unique handmade gift item, carefully crafted with attention to detail."
